Q215627	Person
Q95074	Fictional Character
Q27096213	Geographic Entity
Q3895768	Fictional Location
Q43229	Organization
Q17537576	Creative Work
Q2424752	Product
Q1656682	Event
Q431289	Brand
Q483394	Genre
Q17376908	Languoid
Q43460564	Chemical Entity
Q16521	Taxon
Q9174	Religion
Q7257	Ideology
Q4164871	Position
Q12737077	Occupation
Q11862829	Academic Discipline
Q21070598	Narrative Entity
Q618779	Award
Q12136	Disease
Q4392985	Religious Identity
Q373899	Record Chart
Q22222786	Government Program
Q33829	Human Population
Q1075	Color
Q179661	Treatment
Q169872	Symptom
Q4936952	Anatomical Structure
Q349	Sport
Q729	Animal
